Key,en,es,ar,hi,fr
Enter Name,Enter Name,Ingrese su nombre,أدخل الاسم,नाम दर्ज करें,Entrez le nom
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني,ईमेल दर्ज करें,Entrez l'e-mail
Enter Subject,Enter Subject,Entrar en el sujeto,أدخل الموضوع,विषय दर्ज करें,Entrez le sujet
Massage,Massage,Masaje,تدليك,मालिश,Massage
Send Message,Send Message,Enviar mensaje,إرسال الرسالة,मेसेज भेजें,Envoyer un message
evidence Note,Evidence Note,Nota de evidencia,مذكرة الأدلة,साक्ष्य नोट,Note sur les preuves
baby Sitter,Baby Sitter,niñera,جليسة اطفال,बेबी सिटर,Baby-sitter
history,History,Historia,تاريخ,इतिहास,Histoire
task Complete,Task Complete,Tarea completa,اكتملت المهمة,कार्य पूर्ण,Tâche terminée
paid,Paid,Pagado,مدفوع,चुकाया गया,Payé
sign In,Sign In,Iniciar sesión,تسجيل الدخول,दाखिल करना,Se connecter
Home,Home,Hogar,بيت,घर,Maison
I have read agreed with the,I have read agreed with the,He leído de acuerdo con el,لقد قرأت الاتفاق مع,मैंने इससे सहमत होकर पढ़ा है,J'ai lu d'accord avec le
start Date End Date Compare,Start date should be earlier than end date,La fecha de inicio debe ser anterior a la fecha de finalización.,يجب أن يكون تاريخ البدء أقدم من تاريخ الانتهاء,शुरुआत की तारीख अंतिम तारीख से पहले होनी चाहिए,La date de début doit être antérieure à la date de fin
"State*
",State,Estado,ولاية,राज्य,État
Language Data Fetch Successfully!,Language Data Fetch Successfully!,¡Obtención de datos de idioma exitosamente!,تم جلب بيانات اللغة بنجاح!,भाषा डेटा सफलतापूर्वक प्राप्त हुआ!,Récupération des données linguistiques avec succès !
Nanny Registration,Nanny Registration,Registro de niñera,تسجيل مربية,नानी पंजीकरण,Inscription nounou
KYC,KYC,KYC,اعرف عميلك,केवाईसी,KYC
Something was wrong. Please try again,Something was wrong. Please try again,Algo andaba mal. Por favor inténtalo de nuevo,كان هناك خطأ ما. يرجى المحاولة مرة أخرى,कुछ ग़लत था. कृपया पुन: प्रयास करें,Quelque chose n'allait pas. Veuillez réessayer
Deleteed Successfully,Deleteed Successfully,Eliminado con éxito,تم الحذف بنجاح,सफलतापूर्वक हटा दिया गया,Supprimé avec succès
All nanny list,All nanny list,Toda la lista de niñeras,كل قائمة مربية,सभी नानी सूची,Toute la liste des nounous
Nanny details,Nanny details,Detalles de la niñera,تفاصيل مربية,नानी विवरण,Détails de la nounou
Data Fetch Successfully,Data Fetch Successfully,Obtención de datos exitosa,تم جلب البيانات بنجاح,डेटा सफलतापूर्वक प्राप्त हुआ,Récupération des données réussie
Google 2FA Updated Successfully!,Google 2FA Updated Successfully!,¡Google 2FA se actualizó con éxito!,تم تحديث Google 2FA بنجاح!,Google 2FA सफलतापूर्वक अपडेट किया गया!,Google 2FA mis à jour avec succès !
Your secret key not stored properly. Please contact with system administrator,Your secret key not stored properly. Please contact with system administrator,Su clave secreta no se almacenó correctamente. Por favor contacte con el administrador del sistema,لم يتم تخزين مفتاحك السري بشكل صحيح. يرجى الاتصال بمسؤول النظام,आपकी गुप्त कुंजी ठीक से संग्रहीत नहीं है. कृपया सिस्टम प्रशासक से संपर्क करें,Votre clé secrète n'est pas stockée correctement. Veuillez contacter l'administrateur système
Failed to login. Please try again,Failed to login. Please try again,No se pudo iniciar sesión. Por favor inténtalo de nuevo,فشل تسجيل الدخول. يرجى المحاولة مرة أخرى,लॉगिन करने में विफल. कृपया पुन: प्रयास करें,Échec de la connexion. Veuillez réessayer
service tracking and payment gateway,service tracking and payment gateway,Seguimiento de servicios y pasarela de pago.,تتبع الخدمة وبوابة الدفع,सेवा ट्रैकिंग और भुगतान गेटवे,suivi des services et passerelle de paiement
Service successfully cancel,Service successfully cancel,Servicio cancelado exitosamente,تم إلغاء الخدمة بنجاح,सेवा सफलतापूर्वक रद्द हुई,Service annulé avec succès
User Notification,User Notification,Notificación de usuario,إشعار المستخدم,उपयोगकर्ता अधिसूचना,Notification utilisateur
Request submitted successfully,Request submitted successfully,Solicitud enviada exitosamente,تم إرسال الطلب بنجاح,अनुरोध सफलतापूर्वक सबमिट किया गया,Demande soumise avec succès
Thank you for your rating,Thank you for your rating,Gracias por tu calificación,شكرا لك على تقييمك,आपकी रेटिंग के लिए धन्यवाद,Merci pour votre note
Nanny Dashboard,Nanny Dashboard,Panel de niñera,لوحة تحكم مربية,नानी डैशबोर्ड,Tableau de bord nounou
Single Service,Single Service,Servicio único,خدمة واحدة,एकल सेवा,Service unique
Nanny Notification,Nanny Notification,Notificación de niñera,إشعار مربية,नानी अधिसूचना,Notification de nounou
Account Delete successfully!,Account Delete successfully!,¡Eliminación de cuenta exitosa!,تم حذف الحساب بنجاح!,खाता सफलतापूर्वक हटा दिया गया!,Compte supprimé avec succès !
User service request,User service request,Solicitud de servicio de usuario,طلب خدمة المستخدم,उपयोगकर्ता सेवा अनुरोध,Demande de service utilisateur
You have accepted the request,You have accepted the request,Has aceptado la solicitud,لقد قبلت الطلب,आपने अनुरोध स्वीकार कर लिया है,Vous avez accepté la demande
You have rejected the request,You have rejected the request,Has rechazado la solicitud.,لقد رفضت الطلب,आपने अनुरोध अस्वीकार कर दिया है,Vous avez rejeté la demande
You have task complete,You have task complete,Tienes la tarea completa,لديك مهمة كاملة,आपका कार्य पूरा हो गया है,Vous avez une tâche terminée
You have payment complete,You have payment complete,Tienes el pago completo,لقد اكتمل الدفع,आपका भुगतान पूरा हो गया है,Votre paiement est terminé
You have review complete,You have review complete,Tienes la revisión completa,لقد اكتملت المراجعة,आपकी समीक्षा पूरी हो गई है,Votre révision est terminée
Request submited successfully,Request submited successfully,Solicitud enviada exitosamente,تم إرسال الطلب بنجاح,अनुरोध सफलतापूर्वक सबमिट किया गया,Demande soumise avec succès
Language Switch Successfully,Language Switch Successfully,Cambio de idioma exitoso,تم تبديل اللغة بنجاح,भाषा स्विच सफलतापूर्वक,Changement de langue réussi
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!,भाषा सफलतापूर्वक अपडेट की गई!,Langue mise à jour avec succès !
File remove failed!,File remove failed!,¡Error al eliminar el archivo!,فشل إزالة الملف!,फ़ाइल हटाना विफल!,La suppression du fichier a échoué !
You have completed the task,You have completed the task,Has completado la tarea,لقد أكملت المهمة,आपने कार्य पूरा कर लिया है,Vous avez terminé la tâche
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!,प्रोफ़ाइल सफलतापूर्वक अपडेट की गई!,Profil mis à jour avec succès !
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!,पासवर्ड सफलतापूर्वक अपडेट किया गया!,Mot de passe mis à jour avec succès !
Profession updated successfully,Profession updated successfully,Profesión actualizada con éxito,تم تحديث المهنة بنجاح,प्रोफेशन सफलतापूर्वक अपडेट किया गया,Profession mise à jour avec succès
Opps! Faild to upload attachment. Please try again.,Opps! Faild to upload attachment. Please try again.,¡Ups! No se pudo cargar el archivo adjunto. Por favor inténtalo de nuevo.,انتبه! فشل تحميل المرفق. يرجى المحاولة مرة أخرى.,उफ़! अनुलग्नक अपलोड करने में विफल. कृपया पुन: प्रयास करें।,Oups ! Échec du téléchargement de la pièce jointe. Veuillez réessayer.
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de soporte creado exitosamente!,تم إنشاء تذكرة الدعم بنجاح!,समर्थन टिकट सफलतापूर्वक बनाया गया!,Ticket d'assistance créé avec succès !
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡Falló el envío de SMS! Por favor inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! يرجى المحاولة مرة أخرى.,एसएमएस भेजना विफल! कृपया पुन: प्रयास करें।,L'envoi du SMS a échoué ! Veuillez réessayer.
Security Setting Updated Successfully!,Security Setting Updated Successfully!,¡Configuración de seguridad actualizada exitosamente!,تم تحديث إعداد الأمان بنجاح!,सुरक्षा सेटिंग सफलतापूर्वक अपडेट की गई!,Paramètre de sécurité mis à jour avec succès !
Gateway isn\'t available for this transaction,Gateway isn\'t available for this transaction,La puerta de enlace no está disponible para esta transacción,البوابة غير متاحة لهذه المعاملة,इस लेन-देन के लिए गेटवे उपलब्ध नहीं है,La passerelle n'est pas disponible pour cette transaction
Please follow the transaction limit,Please follow the transaction limit,Siga el límite de transacciones,يرجى اتباع حد المعاملة,कृपया लेनदेन सीमा का पालन करें,Veuillez respecter la limite de transaction
Your wallet balance is insufficient,Your wallet balance is insufficient,El saldo de tu billetera es insuficiente,رصيد محفظتك غير كافي,आपके बटुए का शेष अपर्याप्त है,Le solde de votre portefeuille est insuffisant
Invalid Request!,Invalid Request!,¡Solicitud no válida!,طلب غير صالح!,अमान्य अनुरोध!,Demande invalide !
Payment gateway currency is invalid!,Payment gateway currency is invalid!,¡La moneda de la pasarela de pago no es válida!,عملة بوابة الدفع غير صالحة!,भुगतान गेटवे मुद्रा अमान्य है!,La devise de la passerelle de paiement n'est pas valide !
Your wallet is invalid!,Your wallet is invalid!,¡Tu billetera no es válida!,محفظتك غير صالحة!,आपका बटुआ अमान्य है!,Votre portefeuille n'est pas valide !
Transaction success! Please wait for confirmation,Transaction success! Please wait for confirmation,¡Éxito de la transacción! Por favor espere la confirmación,نجاح الصفقة! يرجى الانتظار للتأكيد,लेन-देन सफल! कृपया पुष्टि के लिए प्रतीक्षा करें,Transaction réussie ! Veuillez attendre la confirmation
Deleted Successfully,Deleted Successfully,Eliminado con éxito,تم الحذف بنجاح,सफलतापूर्वक मिटाया गया,Supprimé avec succès
Thank you for your valuable rating,Thank you for your valuable rating,Gracias por tu valiosa calificación.,شكرا لتقييمك القيم,आपकी बहुमूल्य रेटिंग के लिए धन्यवाद,Merci pour votre précieuse note
Service successfully deleted,Service successfully deleted,Servicio eliminado exitosamente,تم حذف الخدمة بنجاح,सेवा सफलतापूर्वक हटा दी गई,Service supprimé avec succès
Payment Successfully,Payment Successfully,Pago exitoso,تم الدفع بنجاح,भुगतान सफलतापूर्वक,Paiement réussi
Transaction Failed. Record didn\'t saved properly. Please try again,Transaction Failed. Record didn\'t saved properly. Please try again,La transacción falló. El registro no se guardó correctamente. Por favor inténtalo de nuevo,فشلت الصفقة. لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى,लेन - देन विफल। रिकॉर्ड ठीक से सहेजा नहीं गया. कृपया पुन: प्रयास करें,Échec de la transaction. L'enregistrement n'a pas été enregistré correctement. Veuillez réessayer
Enhancing Your Experience – Site Under Maintenance,Enhancing Your Experience – Site Under Maintenance,Mejorando su experiencia – Sitio en mantenimiento,تعزيز تجربتك – الموقع تحت الصيانة,आपके अनुभव को बढ़ाना - साइट रखरखाव के अधीन है,Améliorer votre expérience – Site en maintenance
"Our website is down for upgrades and will be back shortly. If you need assistance, please email us at support@sitterhub.com or message us on WhatsApp at +1234567890. Thank you for your patience!","Our website is down for upgrades and will be back shortly. If you need assistance, please email us at support@sitterhub.com or message us on WhatsApp at +1234567890. Thank you for your patience!","Nuestro sitio web está inactivo por actualizaciones y volverá en breve. Si necesita ayuda, envíenos un correo electrónico a support@sitterhub.com o envíenos un mensaje por WhatsApp al +1234567890. ¡Gracias por tu paciencia!",موقعنا معطل بسبب الترقيات وسيعود قريبًا. إذا كنت بحاجة إلى مساعدة، يرجى مراسلتنا عبر البريد الإلكتروني على support@sitterhub.com أو مراسلتنا على WhatsApp على +1234567890. شكرا لك على صبركم!,"हमारी वेबसाइट अपग्रेड के लिए बंद है और शीघ्र ही वापस आ जाएगी। यदि आपको सहायता की आवश्यकता है, तो कृपया हमें support@sitterhub.com पर ईमेल करें या हमें +1234567890 पर व्हाट्सएप पर संदेश भेजें। आपके धैर्य के लिए धन्यवाद!","Notre site Web est en cours de mise à jour et sera de retour sous peu. Si vous avez besoin d'aide, veuillez nous envoyer un e-mail à support@sitterhub.com ou nous envoyer un message sur WhatsApp au +1234567890. Merci pour votre patience !"
System Maintenance,System Maintenance,Mantenimiento del sistema,صيانة النظام,प्रणाली रखरखाव,Entretien du système
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!,जानकारी सफलतापूर्वक अपडेट की गई!,Informations mises à jour avec succès !
appLDashboard,Dashboard,Panel,لوحة القيادة,डैशबोर्ड,Tableau de bord
appLDefault,Default,Por defecto,تقصير,गलती करना,Défaut
appLSetupCurrency,Setup Currency,Configuración de moneda,عملة الإعداد,सेटअप मुद्रा,Devise de configuration
appLCampaigns,Campaigns,Campañas,الحملات,अभियान,Campagnes
appLEvents,Events,Eventos,الأحداث,घटनाएँ,Événements
appLLanguageCreatedSuccessfully,Language created successfully!,¡Idioma creado exitosamente!,تم إنشاء اللغة بنجاح!,भाषा सफलतापूर्वक बनाई गई!,Langue créée avec succès !
appLTransactionsLog,Transactions & Log,Transacciones y registro,المعاملات والسجل,लेन-देन और लॉग,Transactions et journal
appLAddMoneyLogs,Add Money Logs,Agregar registros de dinero,إضافة سجلات الأموال,मनी लॉग्स जोड़ें,Ajouter des journaux d'argent
appLPendingLogs,Pending Logs,Registros pendientes,السجلات المعلقة,लंबित लॉग,Journaux en attente
appLDonationLogs,Donation Logs,Registros de donaciones,سجلات التبرع,दान लॉग,Journaux de dons
appLUserCare,User Care,Atención al usuario,رعاية المستخدم,उपयोगकर्ता देखभाल,Entretien utilisateur
appLActiveUsers,Active Users,Usuarios activos,المستخدمون النشطون,सक्रिय उपयोगकर्ता,Utilisateurs actifs
appLEmailUnverified,Email Unverified,Correo electrónico no verificado,لم يتم التحقق من البريد الإلكتروني,ईमेल असत्यापित,E-mail non vérifié
appLAllUsers,All Users,Todos los usuarios,كافة المستخدمين,सभी उपयोगकर्ता,Tous les utilisateurs
appLEmailToUsers,Email To Users,Enviar correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين,उपयोगकर्ताओं को ईमेल करें,Envoyer un e-mail aux utilisateurs
appLBannedUsers,Banned Users,Usuarios prohibidos,المستخدمون المحظورون,प्रतिबंधित उपयोगकर्ता,Utilisateurs bannis
appLAdminCare,Admin Care,Atención administrativa,رعاية المشرف,व्यवस्थापक देखभाल,Soins administratifs
appLAllAdmin,All Admin,Todos los administradores,كل المشرف,सभी व्यवस्थापक,Tous les administrateurs
appLAdminRole,Admin Role,Rol de administrador,دور المشرف,व्यवस्थापक भूमिका,Rôle d'administrateur
appLRolePermission,Role Permission,Permiso de rol,إذن الدور,भूमिका की अनुमति,Autorisation de rôle
appLEmailToAdmin,Email To Admin,Enviar correo electrónico al administrador,البريد الإلكتروني إلى المشرف,एडमिन को ईमेल करें,Envoyer un e-mail à l'administrateur
appLSubscriber,Subscriber,Abonado,المشترك,ग्राहक,Abonné
appLContactMessages,Contact Messages,Mensajes de contacto,رسائل الاتصال,संपर्क संदेश,Messages de contact
appLSettings,Settings,Ajustes,إعدادات,सेटिंग्स,Paramètres
appLWebSettings,Web Settings,Configuración web,إعدادات الويب,वेब सेटिंग्स,Paramètres Web
appLBasicSettings,Basic Settings,Configuraciones básicas,الإعدادات الأساسية,बुनियादी सेटिंग्स,Paramètres de base
appLImageAssets,Image Assets,Recursos de imagen,أصول الصورة,छवि संपत्ति,Actifs d’image
appLSetupSeo,Setup SEO,Configurar SEO,إعداد كبار المسئولين الاقتصاديين,एसईओ सेटअप करें,Configurer le référencement
appLAppSettings,App Settings,Configuración de la aplicación,إعدادات التطبيق,ऐप सेटिंग्स,Paramètres de l'application
appLSplashScreen,Splash Screen,Pantalla de bienvenida,شاشة البداية,स्प्लैश स्क्रीन,Écran de démarrage
appLOnboardScreen,Onboard Screen,Pantalla integrada,شاشة على متن الطائرة,ऑनबोर्ड स्क्रीन,Écran embarqué
appLAppUrls,App URLs,URL de aplicaciones,عناوين URL للتطبيقات,ऐप यूआरएल,URL des applications
appLLanguages,Languages,Idiomas,اللغات,बोली,Langues
appLVerificationCenter,Verification Center,Centro de verificación,مركز التحقق,सत्यापन केंद्र,Centre de vérification
appLSetupEmail,Setup Email,Configurar correo electrónico,إعداد البريد الإلكتروني,सेटअप ईमेल,E-mail de configuration
appLEmailMethod,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني,ईमेल विधि,Méthode de courrier électronique
appLAboutSection,About Section,Acerca de la sección,حول القسم,अनुभाग के बारे में,À propos de la section
appLHomeBanner,Home,Hogar,بيت,घर,Maison
appLTestimonialSection,Testimonial Section,Sección de Testimonios,قسم الشهادات,प्रशंसापत्र अनुभाग,Section témoignage
appLVideoSection,Video Section,Sección de Vídeo,قسم الفيديو,वीडियो अनुभाग,Section vidéo
appLPartnerSection,Partner Section,Sección de socios,قسم الشركاء,भागीदार अनुभाग,Section Partenaire
appLFooterSection,Footer Section,Sección de pie de página,قسم التذييل,पाद लेख अनुभाग,Section de pied de page
appLBreadcrumbSection,Breadcrumb Section,Sección de ruta de navegación,قسم التنقل,ब्रेडक्रम्ब अनुभाग,Fil d'Ariane
appLGallerySection,Gallery Section,Sección de galería,قسم المعرض,गैलरी अनुभाग,Section Galerie
appLContactSection,Contact Section,Sección de contacto,قسم الاتصال,संपर्क अनुभाग,Rubrique Contact
appLCategoryType,Category Type,Tipo de categoría,نوع الفئة,श्रेणी प्रकार,Type de catégorie
appLFaqSection,Faq Section,Sección de preguntas frecuentes,قسم الأسئلة الشائعة,अक्सर पूछे जाने वाले प्रश्न अनुभाग,Section FAQ
appLLoginSection,Login Section,Sección de inicio de sesión,قسم تسجيل الدخول,लॉगिन अनुभाग,Section de connexion
appLRegisterSection,Register Section,Sección de Registro,قسم التسجيل,रजिस्टर अनुभाग,Section Inscription
appLSetupPages,Setup Pages,Páginas de configuración,صفحات الإعداد,पेज सेटअप करें,Pages de configuration
appLTopup,Topup,Recarga,اشحن رصيدك,लबालब भरना,Recharge
appLGdprCookie,GDPR Cookie,Cookie RGPD,ملف تعريف الارتباط الناتج عن اللائحة العامة لحماية البيانات,जीडीपीआर कुकी,Cookie RGPD
appLServerInfo,Server Info,Información del servidor,معلومات الخادم,सर्वर जानकारी,Informations sur le serveur
appLClearCache,Clear Cache,Borrar caché,مسح ذاكرة التخزين المؤقت,कैश को साफ़ करें,Vider le cache
appLFeesCharges,Fees & Charges,Tarifas y cargos,الرسوم والمصاريف,फीस एवं शुल्क,Frais et charges
appLTradeLogs,Trade Logs,Registros comerciales,سجلات التجارة,व्यापार लॉग,Journaux commerciaux
appLOngoingLogs,Ongoing Logs,Registros en curso,السجلات المستمرة,चल रहे लॉग,Journaux en cours
appLCompleteLogs,Complete Logs,Registros completos,سجلات كاملة,पूर्ण लॉग,Journaux complets
appLCloseRequestPending,Close Request Pending,Cerrar Solicitud Pendiente,إغلاق الطلب المعلق,बंद करने का अनुरोध लंबित है,Fermer la demande en attente
appLClosedLogs,Closed Logs,Registros cerrados,السجلات المغلقة,बंद लॉग,Journaux fermés
appLMarketplaceLogs,Marketplace Logs,Registros del mercado,سجلات السوق,बाज़ार लॉग,Journaux du marché
appLManualMoneyOut,Manual Money Out,Salida de dinero manual,إخراج الأموال يدويًا,मैनुअल मनी आउट,Retrait manuel de l'argent
appLMoneyOut,Money Out,Salida de dinero,المال خارج,धन ले जाना,Argent sorti
appLPushNotification,Push Notification,Notificación push,دفع الإخطار,सर्वर पुश नोटीफिकेशन,Notification poussée
appLSetupNotification,Setup Notification,Notificación de configuración,إشعار الإعداد,सेटअप अधिसूचना,Notification de configuration
appLSendNotification,Send Notification,Enviar notificación,إرسال الإخطار,अधिसूचना भेजें,Envoyer une notification
appLLanguageManager,Language Manager,Administrador de idiomas,مدير اللغة,भाषा प्रबंधक,Gestionnaire de langues
appLTradeIntervalChargeAndFees,Trade Interval Charge and Fees,Cargos y tarifas del intervalo comercial,رسوم ورسوم الفاصل الزمني للتجارة,व्यापार अंतराल शुल्क और शुल्क,Frais et frais d'intervalle de négociation
appLServices,Services,Servicios,خدمات,सेवाएं,Services
appLAboutUs,About Us,Sobre nosotros,معلومات عنا,हमारे बारे में,À propos de nous
appLFaqs,Faqs,Preguntas frecuentes,أسئلة وأجوبة,पूछे जाने वाले प्रश्न,FAQ
appLWebJournal,Web Journal,Diario Web,مجلة الويب,वेब जर्नल,Journal Web
appLContactUs,Contact Us,Contáctenos,اتصل بنا,हमसे संपर्क करें,Contactez-nous
appLFeeCalculator,Fee Calculator,Calculadora de tarifas,حاسبة الرسوم,शुल्क कैलक्यूलेटर,Calculateur de frais
appLWatchVideo,Watch Video,Ver vídeo,شاهد الفيديو,वीडियो देखें,Regarder la vidéo
appLNeedHelpContactOur,Need Help? Contact our,¿Necesitar ayuda? Contacta con nuestro,هل تحتاج إلى مساعدة؟ اتصل بنا,मदद की ज़रूरत है? हमसे संपर्क करें,Besoin d'aide ? Contactez notre
appLSupportTellUsAboutYourQuery,support & tell us about your query.,soporte y cuéntenos sobre su consulta.,دعم وأخبرنا عن استفسارك.,समर्थन करें और हमें अपने प्रश्न के बारे में बताएं।,soutenez et parlez-nous de votre requête.
appLYearsOfEcperience,Years Of Ecperience,Años de experiencia,سنوات من الخبرة,अनुभव के वर्ष,Années d'expérience
appLFeedback,Feedback,Comentario,تعليق,प्रतिक्रिया,Retour
appLContributors,Contributors,Colaboradores,المساهمين,योगदानकर्ताओं,Contributeurs
appLTags,Tags,Etiquetas,العلامات,टैग,Balises
appLRecentPosts,Recent Posts,Publicaciones recientes,المشاركات الأخيرة,हाल के पोस्ट,Messages récents
appLPhoneNumber,PHONE NUMBER,NÚMERO DE TELÉFONO,رقم التليفون,फ़ोन नंबर,NUMÉRO DE TÉLÉPHONE
appLEmailAddress,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,मेल पता,Adresse email
appLSchedule,SCHEDULE,CRONOGRAMA,جدول,अनुसूची,CALENDRIER
appLLoginNow,Login Now,Iniciar sesión ahora,تسجيل الدخول الآن,अभी लॉगिन करें,Connectez-vous maintenant
appLSetupTopUpGame,Setup Top Up Game,Configurar juego de recarga,لعبة إعداد التعبئة,सेटअप टॉप अप गेम,Configurer le jeu de recharge
appLSetupWebContent,Setup Web Content,Configurar contenido web,إعداد محتوى الويب,वेब सामग्री सेटअप करें,Configurer le contenu Web
appLSetupSection,Setup Section,Sección de configuración,قسم الإعداد,सेटअप अनुभाग,Section de configuration
appLHeaderSlider,Header Slider,Control deslizante de encabezado,شريط تمرير الرأس,हेडर स्लाइडर,Curseur d'en-tête
appLDonetion,Donetion,Donación,التبرع,दान,Donation
appLAbout,About,Acerca de,عن,के बारे में,À propos
appLWhyChoose,Why Choose,¿Por qué elegir?,لماذا تختار,क्यों चुनें?,Pourquoi choisir
appLTestimonial,Testimonial,Testimonial,شهادة,गुणों का वर्ण-पत्र,Témoignage
appLFooter,Footer,Pie de página,تذييل,फ़ुटबाल,Pied de page
appLFaq,FAQ,Preguntas frecuentes,التعليمات,अक्सर पूछे जाने वाले प्रश्न,FAQ
appLCategory,Category,Categoría,فئة,वर्ग,Catégorie
appLBlog,Blog,Blog,مدونة,ब्लॉग,Blogue
appLPaymentMethods,Payment Methods,Métodos de pago,طرق الدفع,भुगतान के तरीके,Méthodes de paiement
appLAutomatic,Automatic,Automático,تلقائي,स्वचालित,Automatique
appLBonus,Bonus,Prima,علاوة,बोनस,Prime
appLTotalReviewTopUp,Total Review Top Up,Recarga Total de Revisión,مراجعة إجمالية,कुल समीक्षा टॉप अप,Rechargement de l'avis total
appLReviewPayment,Review Payment:,Revisar pago:,مراجعة الدفع:,भुगतान की समीक्षा करें:,Examiner le paiement :
appLTotalPendingTopUp,Total Pending Top Up,Recarga Total Pendiente,إجمالي التعبئة المعلقة,कुल लंबित टॉप अप,Total de recharge en attente
appLTotalSettledTopUp,Total Settled Top Up,Recarga Total Liquidada,إجمالي الرصيد المستقر,कुल व्यवस्थित टॉप अप,Recharge totale réglée
appLTotalCompleteTopUp,Total Complete Top Up,Recarga total completa,إجمالي التعبئة الكاملة,कुल पूर्ण टॉप अप,Recharge totale complète
appLComplete,Complete,Completo,مكتمل,पूरा,Complet
appLAddMoneyBalance,Add Money Balance,Agregar saldo de dinero,إضافة رصيد المال,धन शेष जोड़ें,Ajouter un solde d'argent
appLUserActiveTickets,User Active Tickets,Entradas activas de usuario,تذاكر المستخدم النشطة,उपयोगकर्ता सक्रिय टिकट,Tickets actifs pour les utilisateurs
appLPending,Pending,Pendiente,قيد الانتظار,लंबित,En attente
appLSolved,Solved,Resuelto,تم الحل,सुलझ गया,Résolu
appLTotalUsers,Total Users,Usuarios totales,إجمالي المستخدمين,कुल उपयोगकर्ता,Nombre total d'utilisateurs
appLActive,Active,Activo,نشيط,सक्रिय,Actif
appLUnverified,Unverified,Inconfirmado,لم يتم التحقق منها,असत्यापित,Non vérifié
appLMonthlyAddMoneyChart,Monthly Add Money Chart,Gráfico mensual para agregar dinero,مخطط إضافة الأموال شهريًا,मासिक धन जोड़ें चार्ट,Tableau d'ajout d'argent mensuel
appLMonthlyTopUpChart,Monthly Top Up Chart,Tabla de recarga mensual,مخطط تعبئة الرصيد الشهري,मासिक टॉप अप चार्ट,Tableau de recharge mensuel
appLUserAnalytics,User Analytics,Análisis de usuario,تحليلات المستخدم,उपयोगकर्ता विश्लेषण,Analyse des utilisateurs
appLLatestAddMoney,Latest Add Money,Última adición de dinero,أحدث إضافة المال,नवीनतम पैसा जोड़ें,Dernier ajout d'argent
appLTime,Time,Tiempo,وقت,समय,Temps
appLTitle,Title,Título,عنوان,शीर्षक,Titre
appLCreateDate,Create Date,Crear fecha,تاريخ الإنشاء,तिथि बनाएं,Date de création
appLAction,Action,Acción,فعل,कार्रवाई,Action
appLTopUpCreate,Top Up Create,Recargar Crear,قم بتعبئة الإنشاء,टॉप अप बनाएं,Recharger Créer
appLOnHold,On Hold,En espera,في الانتظار,होल्ड पर,En attente
appLTopUpDetailsFor,Top Up details for,Detalles de recarga para,تفاصيل تعبئة الرصيد لـ,टॉप अप विवरण के लिए,Détails de la recharge pour
appLProgressOfTopUpTransactions,Progress of Top Up Transactions,Progreso de las transacciones de recarga,تقدم معاملات تعبئة الرصيد,टॉप अप लेनदेन की प्रगति,Progression des transactions de recharge
appLPayable,Payable,Pagadero,مستحق الدفع,देय,Payable
appLRecharge,Recharge,Recargar,إعادة الشحن,फिर से दाम लगाना,Recharger
appLCharge,Charge,Cargar,تكلفة,शुल्क,Charge
appLAmount,Amount,Cantidad,كمية,मात्रा,Montant
appLMethod,Method,Método,طريقة,तरीका,Méthode
appLWelcomeTo,Welcome To,Bienvenido a,مرحبا بكم في,आपका स्वागत है,Bienvenue à
appLFullName,Full Name,Nombre completo,الاسم الكامل,पूरा नाम,Nom et prénom
appLUsername,Username,Nombre de usuario,اسم المستخدم,उपयोगकर्ता नाम,Nom d'utilisateur
appLPhone,Phone,Teléfono,هاتف,फ़ोन,Téléphone
appLRole,Role,Role,دور,भूमिका,Rôle
appLSiteBaseColor,Site Base Color,Color base del sitio,اللون الأساسي للموقع,साइट का आधार रंग,Couleur de base du site
appLTopUpGame,Top Up Game,Juego de recarga,لعبة تعبئة الرصيد,टॉप अप गेम,Jeu de recharge
appLAddTopUp,Add Top Up,Añadir recarga,أضف رصيدًا أعلى,टॉप अप जोड़ें,Ajouter une recharge
appLCreate,Create,Crear,يخلق,बनाएं,Créer
appLProfileImage,Profile Image,Imagen de perfil,صورة الملف الشخصي,प्रोफ़ाइल छवि,Image de profil
appLCoverImage,Cover Image,Imagen de portada,صورة الغلاف,कवर छवि,Image de couverture
appLRechargeAmount,Recharge Amount,Cantidad de recarga,مبلغ إعادة الشحن,पुनर्भरण राशि,Montant de recharge
appLPrice,Price,Precio,سعر,कीमत,Prix
